codigo,tipo,valido
TEC-0001-MX,producto,True
ALI-9999-US,producto,True
ROB-1234-CA,producto,True
tec-0001-MX,producto,False
TEC-001-MX,producto,False
TECH-0001-MX,producto,False
ENV-2024-03-15-001234,envio,True
ENV-2025-12-01-999999,envio,True
ENV-2019-03-15-001234,envio,False
ENV-2024-13-15-001234,envio,False
ENV-2024-03-32-001234,envio,False
EMP-VEN-1234,empleado,True
EMP-TEC-9999,empleado,True
EMP-ADM-1000,empleado,True
EMP-VEN-0123,empleado,False
EMP-XXX-1234,empleado,False
EMP-VEN-123,empleado,False
FAC-A-123456,factura,True
FAC-E-000001,factura,True
FAC-B-999999,factura,True
FAC-F-123456,factura,False
FAC-A-12345,factura,False
FAC-a-123456,factura,False
XXX-1234,desconocido,False
RANDOM-CODE,desconocido,False
